AEP,Stage_0b ,Stage_1a ,Stage_1b ,Stage_1c ,Stage_1d ,Stage_1e ,Stage_2a ,Stage_2b ,Stage_3a ,Stage_3b,Stage_3c ,Stage_3d ,Stage_3e ,Stage_3f ,Stage_3g ,Stage_3h ,Stage_3i ,Stage_3j ,Stage_4a ,Stage_4b ,Stage_4c ,Stage_4d ,Stage_4e ,Stage_4f ,Stage_5a ,Stage_5b ,Stage_5c,Stage_5d,Stage_6a ,Stage_6b ,Stage_7a ,Stage_7b ,Stage_7c ,Stage_7d ,Stage_7e ,Stage_8a ,Stage_8b ,Stage_8c
7.00E-01,1693.04,1692.73,1692.88,1693.01,1692.87,1692.77,1693.05,1692.99,1693.04,1693.04,1693.04,1692.13,1692.13,1690,1693.04,1693.04,1693.04,1693.04,1693.06,1693.02,1693.08,1693.06,1692.99,1693.03,1673.74,1590.12,1593.87,1552.58,1687.11,1687.1,1594.67,1594.99,1595.18,1594.89,1594.85,1693,1692.98,1693.14
6.00E-01,1694.18,1694.03,1694.08,1694.11,1694.08,1694.04,1694.3,1694.2,1694.18,1694.18,1694.18,1693.86,1693.86,1693.3,1694.18,1694.18,1694.18,1694.18,1694.42,1694.37,1694.18,1694.46,1694.14,1694.22,1686.04,1594.5,1600.13,1559.08,1691.99,1691.99,1599.66,1599.98,1600.71,1600.03,1599.94,1694.17,1694.11,1694.39
5.00E-01,1694.93,1694.78,1694.73,1694.96,1694.92,1694.9,1694.83,1694.8,1694.93,1694.93,1694.93,1694.8,1694.8,1694.43,1694.93,1694.93,1694.93,1694.93,1695,1694.95,1694.98,1694.97,1694.92,1694.96,1690.58,1598.88,1607.69,1566.41,1693.45,1693.45,1605.08,1605.58,1606.71,1605.63,1605.44,1694.81,1694.86,1694.97
4.00E-01,1695.44,1695.41,1695.37,1695.52,1695.44,1695.43,1695.37,1695.4,1695.44,1695.44,1695.44,1695.33,1695.34,1695.14,1695.44,1695.44,1695.44,1695.44,1695.52,1695.45,1695.52,1695.49,1695.44,1695.47,1692.2,1603.19,1616.04,1573.72,1694.15,1694.15,1612.8,1613.11,1615.17,1612.97,1612.81,1695.44,1695.48,1695.47
3.00E-01,1695.95,1695.98,1695.98,1696.08,1695.97,1695.96,1695.98,1696.01,1695.95,1695.95,1695.95,1695.87,1695.88,1695.77,1695.95,1695.95,1695.95,1695.95,1696.03,1695.95,1696.07,1696,1695.96,1695.98,1693.92,1608.74,1627.69,1582.50,1694.85,1694.85,1624.01,1625.01,1627.25,1624.21,1624.03,1696.04,1696.04,1695.96
2.00E-01,1696.71,1696.55,1696.59,1696.88,1696.71,1696.66,1696.67,1696.63,1696.71,1696.71,1696.71,1696.6,1696.66,1696.72,1696.71,1696.71,1696.71,1696.71,1696.9,1696.74,1696.91,1696.86,1696.73,1696.76,1695.32,1617.96,1643.34,1592.29,1695.55,1695.55,1640.64,1641.74,1645.59,1641.23,1641.06,1696.65,1696.59,1696.74
1.00E-01,1697.72,1697.82,1697.92,1698.16,1697.75,1697.74,1697.78,1697.84,1697.72,1697.72,1697.72,1697.66,1697.89,1699.39,1697.72,1697.72,1697.72,1697.72,1698.07,1697.66,1698.1,1697.95,1697.75,1697.74,1696.81,1632.56,1661.14,1605.30,1696.24,1696.24,1661.74,1662.43,1665.81,1661.86,1661.69,1697.93,1697.83,1697.67
9.00E-02,1697.88,1697.96,1698.08,1698.45,1697.85,1697.85,1697.98,1698.02,1697.88,1697.88,1697.88,1697.77,1698.27,1699.77,1697.88,1697.88,1697.88,1697.88,1698.35,1697.9,1698.39,1698.23,1697.93,1697.96,1696.96,1634.63,1663.50,1607.08,1696.31,1696.31,1664.44,1665,1668.02,1664.26,1664.04,1698.09,1697.96,1697.85
8.00E-02,1698.18,1698.09,1698.24,1698.73,1698.14,1698.08,1698.18,1698.19,1698.18,1698.18,1698.18,1698.04,1698.65,1700.14,1698.18,1698.18,1698.18,1698.18,1698.63,1698.19,1698.68,1698.5,1698.24,1698.26,1697.11,1636.79,1666.18,1609.16,1696.38,1696.38,1667.09,1667.64,1670.54,1666.61,1666.39,1698.25,1698.08,1698.13
7.00E-02,1698.49,1698.3,1698.51,1699.02,1698.46,1698.42,1698.38,1698.37,1698.49,1698.49,1698.49,1698.37,1699.03,1700.52,1698.49,1698.49,1698.49,1698.49,1698.91,1698.49,1698.97,1698.78,1698.54,1698.55,1697.27,1639.65,1669.27,1611.62,1696.45,1696.45,1669.48,1670.21,1673.67,1669.38,1669.21,1698.45,1698.25,1698.42
6.00E-02,1698.79,1698.62,1698.81,1699.31,1698.79,1698.75,1698.58,1698.64,1698.79,1698.79,1698.79,1698.7,1699.45,1700.9,1698.8,1698.8,1698.8,1698.8,1699.19,1698.78,1699.26,1699.05,1698.85,1698.85,1697.68,1643.09,1672.24,1614.44,1696.73,1696.72,1672.49,1673.28,1677.78,1672.07,1671.91,1698.76,1698.56,1698.7
5.00E-02,1699.1,1698.94,1699.12,1699.61,1699.11,1699.09,1698.91,1699,1699.1,1699.1,1699.1,1699.03,1700.15,1701.52,1699.11,1699.11,1699.11,1699.11,1699.55,1699.08,1699.61,1699.39,1699.16,1699.14,1698.09,1646.44,1676.20,1619.10,1697.06,1697.06,1676.66,1677.48,1681.68,1676.13,1675.75,1699.08,1698.88,1698.99
4.00E-02,1699.42,1699.26,1699.43,1700.07,1699.44,1699.42,1699.32,1699.36,1699.42,1699.42,1699.42,1699.36,1700.85,1702.19,1699.45,1699.45,1699.45,1699.45,1699.98,1699.44,1700.03,1699.83,1699.51,1699.49,1698.5,1650.88,1679.83,1623.94,1697.4,1697.4,1680.98,1681.86,1685.6,1680.57,1680.34,1699.4,1699.2,1699.27
3.00E-02,1699.94,1699.58,1699.74,1700.53,1699.95,1699.92,1699.74,1699.73,1699.94,1699.94,1699.94,1699.93,1702.31,1703.42,1700.04,1700.04,1700.04,1700.04,1700.41,1699.95,1700.46,1700.28,1700.01,1700,1698.91,1655.84,1684.71,1629.19,1697.74,1697.73,1685.67,1686.12,1692.48,1684.51,1684.48,1699.72,1699.51,1699.77
2.00E-02,1700.46,1700.18,1700.35,1701,1700.46,1700.44,1700.15,1700.2,1700.46,1700.46,1700.46,1700.52,1705.05,1705.78,1700.62,1700.62,1700.62,1700.62,1700.84,1700.46,1700.88,1700.73,1700.51,1700.51,1699.8,1662.02,1692.64,1637.95,1698.07,1698.07,1692.04,1692.91,1695.01,1692.41,1692.21,1700.2,1699.97,1700.29
9.99E-03,1701.01,1701.01,1701.09,1701.84,1700.98,1700.97,1701.02,1701,1701.01,1701.01,1701.01,1701.34,1710.27,1710.91,1701.7,1701.7,1701.7,1701.7,1701.7,1701.15,1701.72,1701.58,1701.09,1701.14,1700.89,1674.23,1695.73,1653.90,1698.88,1698.88,1695.65,1695.89,1697.33,1695.48,1695.47,1701.01,1700.82,1700.82
8.99E-03,1701.17,1701.1,1701.17,1701.94,1701.05,1701.02,1701.12,1701.08,1701.17,1701.17,1701.17,1701.49,1711.13,1711.83,1701.87,1701.87,1701.87,1701.87,1701.79,1701.29,1701.82,1701.68,1701.25,1701.29,1701.07,1676.48,1695.97,1656.03,1698.98,1698.97,1695.97,1696.12,1697.59,1695.74,1695.73,1701.09,1700.9,1700.88
7.99E-03,1701.34,1701.18,1701.24,1702.04,1701.23,1701.13,1701.21,1701.16,1701.34,1701.34,1701.34,1701.65,1711.97,1712.33,1702.04,1702.04,1702.04,1702.04,1701.89,1701.43,1701.92,1701.78,1701.41,1701.44,1701.24,1679.07,1696.20,1658.40,1699.07,1699.07,1696.32,1696.44,1697.85,1696.04,1696.02,1701.17,1700.99,1701
6.99E-03,1701.5,1701.27,1701.32,1702.14,1701.42,1701.33,1701.3,1701.24,1701.5,1701.5,1701.5,1701.81,1712.37,1712.7,1702.22,1702.22,1702.22,1702.22,1701.98,1701.57,1702.03,1701.87,1701.56,1701.59,1701.42,1681.96,1696.44,1660.82,1699.17,1699.17,1696.66,1696.87,1698.24,1696.43,1696.4,1701.25,1701.07,1701.19
5.99E-03,1701.67,1701.46,1701.44,1702.24,1701.6,1701.53,1701.39,1701.32,1701.67,1701.67,1701.67,1701.96,1712.72,1713.07,1702.39,1702.39,1702.39,1702.39,1702.07,1701.71,1702.13,1701.97,1701.72,1701.74,1701.59,1685.14,1696.81,1663.70,1699.27,1699.26,1697.01,1697.29,1698.91,1696.81,1696.78,1701.33,1701.16,1701.39
4.99E-03,1701.83,1701.71,1701.69,1702.34,1701.78,1701.73,1701.48,1701.4,1701.83,1701.83,1701.83,1702.12,1713.07,1713.43,1702.59,1702.59,1702.59,1702.59,1702.17,1701.85,1702.23,1702.06,1701.88,1701.89,1701.77,1688.23,1697.24,1667.34,1699.36,1699.36,1697.35,1697.72,1699.57,1697.19,1697.16,1701.41,1701.24,1701.58
4.00E-03,1702,1701.95,1701.95,1702.44,1701.97,1701.92,1701.57,1701.47,1702,1702,1702,1702.28,1713.42,1713.82,1703.02,1703.02,1703.02,1703.02,1702.26,1702,1702.34,1702.16,1702.04,1702.04,1701.94,1692.26,1697.68,1672.61,1699.46,1699.46,1697.86,1698.25,1700.21,1697.57,1697.54,1701.58,1701.43,1701.78
3.00E-03,1702.16,1702.19,1702.21,1702.54,1702.15,1702.12,1701.66,1701.69,1702.16,1702.16,1702.16,1702.43,1713.84,1714.24,1703.46,1703.46,1703.46,1703.46,1702.35,1702.14,1702.44,1702.26,1702.2,1702.19,1702.12,1694.69,1698.11,1679.75,1699.56,1699.55,1698.86,1699.33,1700.83,1698.36,1698.2,1701.94,1701.8,1701.97
2.00E-03,1702.32,1702.43,1702.47,1702.64,1702.33,1702.32,1702.07,1702.16,1702.32,1702.32,1702.33,1702.98,1714.42,1714.66,1703.89,1703.89,1703.89,1703.89,1702.44,1702.28,1702.54,1702.35,1702.36,1702.34,1702.29,1696.16,1698.74,1688.51,1699.65,1699.65,1699.98,1700.4,1701.45,1699.57,1699.47,1702.31,1702.16,1702.16
9.99E-04,1702.49,1702.68,1702.72,1703.17,1702.52,1702.52,1702.65,1702.62,1702.49,1702.49,1702.49,1705.31,1714.99,1715.08,1704.97,1704.97,1704.97,1704.97,1703.08,1702.42,1703.11,1702.79,1702.51,1702.49,1702.47,1697.97,1701.07,1695.91,1699.75,1699.75,1701.31,1701.45,1702.43,1700.88,1700.85,1702.68,1702.52,1702.36
8.99E-04,1702.51,1702.7,1702.75,1703.29,1702.54,1702.54,1702.71,1702.67,1702.51,1702.51,1702.51,1705.72,1715.05,1715.12,1705.17,1705.17,1705.17,1705.17,1703.18,1702.43,1703.22,1702.92,1702.53,1702.51,1702.48,1698.3,1701.24,1696.22,1699.76,1699.76,1701.48,1701.56,1702.56,1701.02,1700.99,1702.71,1702.56,1702.38
7.99E-04,1702.52,1702.73,1702.77,1703.41,1702.55,1702.56,1702.77,1702.72,1702.52,1702.52,1702.52,1706.43,1715.11,1715.16,1705.36,1705.36,1705.36,1705.36,1703.28,1702.45,1703.33,1703.04,1702.55,1702.52,1702.5,1698.63,1701.41,1696.52,1699.77,1699.77,1701.7,1701.66,1702.69,1701.15,1701.13,1702.75,1702.59,1702.4
6.99E-04,1702.54,1702.75,1702.8,1703.53,1702.57,1702.58,1702.83,1702.76,1702.54,1702.54,1702.54,1707.14,1715.17,1715.2,1705.55,1705.55,1705.55,1705.55,1703.38,1702.46,1703.44,1703.16,1702.56,1702.54,1702.52,1698.96,1701.58,1696.83,1699.78,1699.78,1701.91,1701.77,1702.81,1701.28,1701.27,1702.79,1702.63,1702.42
6.00E-04,1702.67,1702.77,1702.83,1703.66,1702.59,1702.6,1702.88,1702.81,1702.67,1702.68,1702.74,1708.11,1715.22,1715.34,1705.78,1705.78,1705.78,1705.78,1703.48,1702.6,1703.55,1703.29,1702.78,1702.77,1702.54,1699.29,1701.76,1697.13,1699.79,1699.79,1702.13,1702.03,1702.94,1701.41,1701.41,1702.82,1702.67,1702.44
5.00E-04,1702.92,1702.8,1702.85,1703.78,1702.66,1702.62,1702.94,1702.85,1702.92,1702.93,1703.05,1709.3,1715.5,1715.61,1706.3,1706.3,1706.3,1706.31,1703.59,1702.84,1703.66,1703.41,1703.01,1703,1702.82,1699.88,1701.93,1697.81,1699.8,1699.8,1702.35,1702.31,1703.07,1701.59,1701.55,1702.86,1702.7,1702.45
4.00E-04,1703.16,1702.82,1702.88,1703.9,1702.97,1702.76,1703,1702.9,1703.17,1703.18,1703.35,1710.82,1715.8,1715.89,1706.82,1706.83,1706.83,1706.84,1703.69,1703.09,1703.77,1703.53,1703.24,1703.22,1703.12,1700.48,1702.10,1698.56,1699.81,1699.81,1702.57,1702.59,1703.19,1701.96,1701.93,1702.9,1702.74,1702.47
3.00E-04,1703.41,1702.91,1702.9,1704.02,1703.28,1703.13,1703.06,1702.95,1703.41,1703.44,1703.66,1712.17,1716.1,1716.16,1707.37,1707.38,1707.4,1707.45,1703.79,1703.33,1703.88,1703.66,1703.47,1703.45,1703.42,1701.07,1702.27,1699.30,1699.82,1699.82,1702.78,1702.88,1703.32,1702.33,1702.32,1702.93,1702.78,1702.49
2.00E-04,1703.65,1703.46,1703.14,1704.14,1703.59,1703.5,1703.12,1702.99,1703.66,1703.69,1703.96,1713.28,1716.4,1716.43,1708.17,1708.23,1708.32,1708.59,1703.89,1703.58,1703.99,1703.78,1703.7,1703.68,1703.72,1701.8,1702.44,1700.47,1699.83,1699.82,1703,1703.16,1703.45,1702.7,1702.7,1702.97,1702.81,1703.02
1.00E-04,1703.9,1704.02,1703.92,1704.26,1703.9,1703.86,1703.18,1703.04,1703.91,1703.94,1705.94,1714.58,1716.7,1716.71,1709.05,1709.19,1709.38,1710.33,1703.99,1703.82,1704.1,1703.91,1703.93,1703.91,1704.02,1702.7,1703.38,1701.77,1699.84,1699.83,1703.22,1703.44,1703.57,1703.08,1703.08,1703.16,1702.85,1703.56
9.00E-05,1703.92,1704.08,1704,1704.27,1703.93,1703.9,1703.18,1703.05,1703.93,1703.97,1706.63,1714.72,1716.73,1716.74,1709.2,1709.33,1709.51,1710.59,1704,1703.85,1704.12,1703.92,1703.95,1703.93,1704.05,1702.79,1703.49,1701.96,1699.84,1699.84,1703.24,1703.47,1703.93,1703.11,1703.12,1703.33,1702.89,1703.61
8.00E-05,1703.95,1704.13,1704.08,1704.88,1703.96,1703.94,1703.19,1703.05,1703.96,1703.99,1707.31,1714.86,1716.76,1716.76,1709.34,1709.47,1709.64,1711,1704.02,1703.87,1704.13,1703.93,1703.98,1703.96,1704.08,1702.88,1703.61,1702.15,1699.84,1699.84,1703.26,1703.49,1704.43,1703.15,1703.16,1703.49,1703.07,1703.66
7.00E-05,1703.97,1704.19,1704.16,1705.83,1703.99,1703.98,1703.19,1703.05,1703.98,1704.02,1708.18,1715,1716.79,1716.79,1709.49,1709.6,1709.77,1711.41,1704.03,1703.9,1704.14,1703.94,1704,1703.98,1704.11,1702.97,1703.72,1702.33,1699.84,1699.84,1703.3,1703.52,1704.94,1703.19,1703.19,1703.66,1703.24,1703.72
6.00E-05,1704,1704.24,1704.24,1706.72,1704.02,1704.01,1703.2,1703.06,1704.01,1704.04,1709.08,1715.14,1716.86,1716.86,1709.64,1709.74,1709.9,1711.81,1704.04,1703.92,1704.15,1703.96,1704.02,1704,1704.14,1703.06,1703.84,1702.52,1699.84,1699.84,1703.71,1703.55,1705.46,1703.22,1703.23,1703.83,1703.42,1703.77
5.00E-05,1704.02,1704.3,1704.31,1708.01,1704.05,1704.05,1703.21,1703.34,1704.03,1704.07,1710.13,1715.35,1717.15,1717.14,1709.79,1709.88,1710.03,1712.29,1704.05,1703.95,1704.16,1703.97,1704.05,1704.03,1704.17,1703.15,1703.95,1702.71,1699.84,1699.84,1704.12,1703.58,1706.67,1703.26,1703.27,1704,1703.6,1703.82
4.00E-05,1704.05,1704.35,1704.39,1710.49,1704.08,1704.09,1703.48,1703.63,1704.06,1704.09,1711.49,1715.69,1717.43,1717.42,1709.93,1710.01,1710.16,1712.89,1704.06,1703.97,1704.17,1703.98,1704.07,1704.05,1704.2,1703.24,1704.06,1702.90,1699.84,1699.84,1704.52,1703.61,1708.67,1703.3,1703.31,1704.17,1703.78,1703.88
3.00E-05,1704.07,1704.88,1704.56,1712.24,1704.11,1704.12,1703.96,1703.92,1704.08,1704.12,1712.71,1716.04,1717.71,1717.7,1710.08,1710.15,1710.29,1713.48,1704.07,1704,1704.59,1703.99,1704.09,1704.07,1704.23,1703.33,1704.18,1703.08,1701.96,1699.84,1704.93,1704.4,1711.24,1703.34,1703.35,1704.33,1703.96,1703.93
2.00E-05,1704.1,1707.91,1708.33,1714.23,1704.15,1704.16,1704.44,1704.22,1704.1,1704.96,1713.77,1716.38,1718,1717.99,1710.23,1710.29,1710.42,1714.22,1704.26,1704.02,1706.91,1704.01,1704.11,1704.09,1704.26,1703.42,1704.29,1703.27,1704.93,1699.84,1706.72,1706.7,1713.87,1703.37,1703.39,1704.5,1704.14,1703.98
1.00E-05,1704.12,1714.11,1714.32,1716.05,1704.18,1704.2,1708.17,1704.51,1704.13,1707.91,1714.9,1716.72,1718.28,1718.27,1710.38,1710.42,1711.77,1715.03,1707.91,1704.04,1712.4,1704.56,1704.14,1704.12,1704.29,1703.51,1704.41,1703.46,1712.98,1699.84,1713.57,1713.86,1715.97,1704.23,1704.05,1709.47,1704.32,1704.04
9.01E-06,1704.12,1714.4,1714.62,1716.26,1704.18,1704.2,1708.74,1704.54,1704.13,1708.6,1715.01,1716.76,1718.31,1718.3,1710.39,1710.44,1711.98,1715.11,1708.59,1704.05,1712.93,1705.08,1704.14,1704.12,1704.29,1703.52,1704.42,1703.48,1713.45,1699.84,1713.94,1714.31,1716.18,1704.44,1704.29,1710.01,1704.34,1704.04
8.01E-06,1704.13,1714.68,1714.92,1716.46,1704.18,1704.2,1709.33,1704.57,1704.79,1709.53,1715.13,1716.79,1718.34,1718.33,1710.4,1710.45,1712.35,1715.19,1709.48,1704.05,1713.45,1705.6,1704.14,1704.12,1704.29,1703.53,1704.43,1703.49,1713.98,1699.84,1714.3,1714.75,1716.39,1704.64,1704.53,1710.55,1704.36,1704.05
7.01E-06,1704.13,1714.97,1715.22,1716.66,1704.58,1704.45,1710.99,1704.71,1705.45,1710.66,1715.26,1716.92,1718.36,1718.35,1710.42,1710.47,1712.81,1715.38,1710.56,1704.05,1713.91,1706.54,1704.14,1704.12,1704.3,1703.54,1704.44,1703.51,1714.52,1699.84,1714.7,1715.12,1716.65,1704.85,1704.77,1711.5,1704.38,1704.05
6.01E-06,1704.13,1715.26,1715.58,1716.92,1705.52,1705.36,1712.5,1705.7,1706.28,1711.98,1715.56,1717.19,1718.39,1718.38,1710.43,1710.7,1713.27,1715.66,1712.05,1704.05,1714.33,1707.72,1704.41,1704.36,1704.3,1703.94,1704.45,1703.53,1715.05,1700.44,1715.32,1715.49,1717.06,1705.05,1705.01,1712.53,1704.39,1704.06
5.01E-06,1704.5,1715.97,1715.98,1717.37,1706.63,1706.38,1713.02,1706.92,1707.2,1712.69,1715.86,1717.45,1718.4,1718.4,1710.45,1711.24,1713.74,1715.94,1713,1704.06,1714.74,1709.45,1705.14,1705.64,1704.6,1704.48,1704.46,1703.81,1715.75,1701.24,1715.94,1715.87,1717.47,1705.26,1705.26,1713.38,1704.72,1704.06
4.01E-06,1705.33,1716.71,1716.37,1717.83,1708.11,1707.7,1713.55,1709.15,1708.46,1713.37,1716.17,1717.72,1718.4,1718.4,1710.46,1711.77,1714.22,1716.22,1713.89,1704.06,1715.16,1711.11,1706.06,1706.92,1705.51,1705.02,1704.89,1704.54,1716.46,1702.32,1716.57,1716.24,1717.88,1706.76,1706.7,1714.3,1705.74,1704.07
3.00E-06,1706.99,1717.49,1716.77,1718.28,1710.86,1710.57,1714.5,1711.05,1710.59,1714.17,1716.47,1717.99,1718.4,1718.4,1710.95,1712.61,1714.7,1716.5,1714.67,1705.16,1715.97,1712.55,1708.16,1708.48,1706.92,1705.56,1706.15,1705.26,1717.3,1704.1,1717.42,1716.75,1718.29,1709.06,1708.96,1715.27,1707.75,1704.07
2.00E-06,1710.2,1718.28,1718.01,1718.4,1712.89,1712.65,1716.16,1713.04,1713.15,1715.06,1716.77,1718.25,1718.4,1718.4,1712.44,1713.84,1715.19,1716.78,1715.55,1707.19,1716.9,1713.84,1711.96,1711.49,1709.97,1708.22,1708.75,1706.88,1718.23,1707.4,1718.26,1718.05,1718.4,1712.35,1712.1,1716.67,1710.88,1704.08
1.00E-06,1713.88,1718.4,1718.4,1718.4,1714.9,1714.73,1717.79,1715.17,1714.95,1716.22,1717.76,1718.4,1718.4,1718.4,1714.4,1715.24,1716.26,1717.76,1716.7,1711.59,1718.03,1715.66,1714.23,1714.4,1713.95,1713.02,1713.29,1711.91,1718.4,1712.96,1718.4,1718.4,1718.4,1714.69,1714.64,1718.4,1714.13,1704.15
9.02E-07,1714.15,1718.4,1718.4,1718.4,1715.13,1714.97,1717.94,1715.44,1715.12,1716.34,1717.87,1718.4,1718.4,1718.4,1714.58,1715.47,1716.38,1717.87,1716.82,1712.2,1718.14,1715.87,1714.47,1714.68,1714.23,1713.41,1713.66,1712.51,1718.4,1713.41,1718.4,1718.4,1718.4,1715.02,1714.97,1718.4,1714.54,1704.55
8.02E-07,1714.41,1718.4,1718.4,1718.4,1715.43,1715.21,1718.09,1715.8,1715.33,1716.47,1717.97,1718.4,1718.4,1718.4,1714.75,1715.71,1716.49,1717.98,1717.12,1712.85,1718.25,1716.08,1714.72,1714.96,1714.51,1713.79,1714.03,1713.11,1718.4,1713.81,1718.4,1718.4,1718.4,1715.35,1715.31,1718.4,1714.95,1704.95
7.02E-07,1714.68,1718.4,1718.4,1718.4,1715.79,1715.59,1718.23,1716.17,1715.65,1716.59,1718.08,1718.4,1718.4,1718.4,1714.93,1715.94,1716.6,1718.08,1717.42,1713.5,1718.37,1716.29,1714.96,1715.24,1714.79,1714.19,1714.41,1713.71,1718.4,1714.21,1718.4,1718.4,1718.4,1715.68,1715.65,1718.4,1715.36,1705.35
6.01E-07,1714.95,1718.4,1718.4,1718.4,1716.14,1716,1718.38,1716.53,1715.96,1716.71,1718.19,1718.4,1718.4,1718.4,1715.1,1716.18,1716.72,1718.19,1717.72,1713.99,1718.4,1716.51,1715.21,1715.62,1715.17,1714.7,1714.88,1714.30,1718.4,1714.61,1718.4,1718.4,1718.4,1716.01,1715.99,1718.4,1715.79,1705.85
5.01E-07,1715.22,1718.4,1718.4,1718.4,1716.5,1716.42,1718.4,1716.9,1716.27,1716.88,1718.3,1718.4,1718.4,1718.4,1715.37,1716.41,1716.88,1718.3,1718.02,1714.44,1718.4,1716.72,1715.65,1716.01,1715.61,1715.2,1715.35,1714.90,1718.4,1715.01,1718.4,1718.4,1718.4,1716.34,1716.33,1718.4,1716.22,1706.78
4.01E-07,1715.78,1718.4,1718.4,1718.4,1716.89,1716.84,1718.4,1717.35,1716.58,1717.33,1718.4,1718.4,1718.4,1718.4,1715.88,1716.65,1717.33,1718.4,1718.32,1714.9,1718.4,1717.1,1716.12,1716.4,1716.04,1715.71,1715.83,1715.50,1718.4,1715.62,1718.4,1718.4,1718.4,1716.87,1716.86,1718.4,1716.65,1707.88
