Ord,Date,Elev_29
34057,29-Mar-21,1646.5
34058,30-Mar-21,1647.6
34059,31-Mar-21,1648.8
34060,1-Apr-21,1649.9
34061,2-Apr-21,1651
34062,3-Apr-21,1652.1
34063,4-Apr-21,1653.2
34064,5-Apr-21,1654.3
34065,6-Apr-21,1655.4
34066,7-Apr-21,1656.5
34067,8-Apr-21,1657.5
34068,9-Apr-21,1658.7
34069,10-Apr-21,1659.7
34070,11-Apr-21,1660.8
34071,12-Apr-21,1661.8
34072,13-Apr-21,1662.9
34073,14-Apr-21,1663.9
34074,15-Apr-21,1665
34075,16-Apr-21,1666
34076,17-Apr-21,1667.1
34077,18-Apr-21,1668.1
34078,19-Apr-21,1669.2
34079,20-Apr-21,1670.2
34080,21-Apr-21,1671.2
34081,22-Apr-21,1672.2
34082,23-Apr-21,1673.3
34083,24-Apr-21,1674.3
34084,25-Apr-21,1675.3
34085,26-Apr-21,1676.3
34086,27-Apr-21,1677.3
34087,28-Apr-21,1678.3
34088,29-Apr-21,1679.3
34089,30-Apr-21,1680.3
34090,1-May-21,1681.3
34091,2-May-21,1682.2
34092,3-May-21,1683.3
34093,4-May-21,1684.2
34094,5-May-21,1685.2
34095,6-May-21,1686.2
34096,7-May-21,1687.1
34097,8-May-21,1688.1
34098,9-May-21,1689
34099,10-May-21,1690
34100,11-May-21,1690
34101,12-May-21,1690
34102,13-May-21,1690
34103,14-May-21,1690
34104,15-May-21,1690
34105,16-May-21,1690
34106,17-May-21,1690
34107,18-May-21,1690
34108,19-May-21,1690
34109,20-May-21,1690
34110,21-May-21,1690
34111,22-May-21,1690
34112,23-May-21,1690
34113,24-May-21,1690
34114,25-May-21,1690
34115,26-May-21,1690
34116,27-May-21,1690
34117,28-May-21,1690
34118,29-May-21,1690
34119,30-May-21,1690
34120,31-May-21,1690
34121,1-Jun-21,1690
34122,2-Jun-21,1690
34123,3-Jun-21,1690
34124,4-Jun-21,1690
34125,5-Jun-21,1690
34126,6-Jun-21,1690
34127,7-Jun-21,1690
34128,8-Jun-21,1690
34129,9-Jun-21,1690
34130,10-Jun-21,1690
34131,11-Jun-21,1690
34132,12-Jun-21,1690
34133,13-Jun-21,1690
34134,14-Jun-21,1690
34135,15-Jun-21,1690
34136,16-Jun-21,1690
34137,17-Jun-21,1690
34138,18-Jun-21,1690
34139,19-Jun-21,1690
34140,20-Jun-21,1690
34141,21-Jun-21,1690
34142,22-Jun-21,1690
34143,23-Jun-21,1690
34144,24-Jun-21,1690
34145,25-Jun-21,1690
34146,26-Jun-21,1690
34147,27-Jun-21,1690
34148,28-Jun-21,1690
34149,29-Jun-21,1690
34150,30-Jun-21,1690
34151,1-Jul-21,1690
34152,2-Jul-21,1690
34153,3-Jul-21,1690
34154,4-Jul-21,1690
34155,5-Jul-21,1690
34156,6-Jul-21,1690
34157,7-Jul-21,1690
34158,8-Jul-21,1690
34159,9-Jul-21,1690
34160,10-Jul-21,1690
34161,11-Jul-21,1690
34162,12-Jul-21,1690
34163,13-Jul-21,1690
34164,14-Jul-21,1690
34165,15-Jul-21,1690
34166,16-Jul-21,1690
34167,17-Jul-21,1690
34168,18-Jul-21,1690
34169,19-Jul-21,1690
34170,20-Jul-21,1690
34171,21-Jul-21,1690
34172,22-Jul-21,1690
34173,23-Jul-21,1690
34174,24-Jul-21,1690
34175,25-Jul-21,1690
34176,26-Jul-21,1690
34177,27-Jul-21,1690
34178,28-Jul-21,1690
34179,29-Jul-21,1690
34180,30-Jul-21,1690
34181,31-Jul-21,1690
34182,1-Aug-21,1690
34183,2-Aug-21,1690
34184,3-Aug-21,1690
34185,4-Aug-21,1690
34186,5-Aug-21,1690
34187,6-Aug-21,1690
34188,7-Aug-21,1690
34189,8-Aug-21,1690
34190,9-Aug-21,1690
34191,10-Aug-21,1690
34192,11-Aug-21,1690
34193,12-Aug-21,1690
34194,13-Aug-21,1690
34195,14-Aug-21,1690
34196,15-Aug-21,1690
34197,16-Aug-21,1690
34198,17-Aug-21,1690
34199,18-Aug-21,1690
34200,19-Aug-21,1690
34201,20-Aug-21,1690
34202,21-Aug-21,1690
34203,22-Aug-21,1690
34204,23-Aug-21,1690
34205,24-Aug-21,1690
34206,25-Aug-21,1690
34207,26-Aug-21,1690
34208,27-Aug-21,1690
34209,28-Aug-21,1690
34210,29-Aug-21,1690
34211,30-Aug-21,1690
34212,31-Aug-21,1690
34213,1-Sep-21,1688.7
34214,2-Sep-21,1687.5
34215,3-Sep-21,1686.2
34216,4-Sep-21,1685
34217,5-Sep-21,1683.7
34218,6-Sep-21,1682.4
34219,7-Sep-21,1681.1
34220,8-Sep-21,1679.9
34221,9-Sep-21,1678.5
34222,10-Sep-21,1677.2
34223,11-Sep-21,1675.9
34224,12-Sep-21,1674.6
34225,13-Sep-21,1673.3
34226,14-Sep-21,1671.9
34227,15-Sep-21,1670.6
34228,16-Sep-21,1669.3
34229,17-Sep-21,1667.9
34230,18-Sep-21,1666.5
34231,19-Sep-21,1665.2
34232,20-Sep-21,1663.8
34233,21-Sep-21,1662.4
34234,22-Sep-21,1661.1
34235,23-Sep-21,1659.7
34236,24-Sep-21,1658.2
34237,25-Sep-21,1656.8
34238,26-Sep-21,1655.4
34239,27-Sep-21,1654
34240,28-Sep-21,1652.6
34241,29-Sep-21,1651.1
34242,30-Sep-21,1649.7
33878,1-Oct-21,1648.2
33879,2-Oct-21,1646.7
33880,3-Oct-21,1645.3
33881,4-Oct-21,1643.8
33882,5-Oct-21,1642.3
33883,6-Oct-21,1640.8
33884,7-Oct-21,1639.3
33885,8-Oct-21,1637.7
33886,9-Oct-21,1636.1
33887,10-Oct-21,1634.6
33888,11-Oct-21,1633
33889,12-Oct-21,1631.5
33890,13-Oct-21,1629.9
33891,14-Oct-21,1628.3
33892,15-Oct-21,1626.7
33893,16-Oct-21,1625.1
33894,17-Oct-21,1623.4
33895,18-Oct-21,1621.8
33896,19-Oct-21,1620.1
33897,20-Oct-21,1618.4
33898,21-Oct-21,1616.7
33899,22-Oct-21,1615.1
33900,23-Oct-21,1613.4
33901,24-Oct-21,1611.6
33902,25-Oct-21,1609.9
33903,26-Oct-21,1608.2
33904,27-Oct-21,1606.4
33905,28-Oct-21,1604.6
33906,29-Oct-21,1602.8
33907,30-Oct-21,1600.9
33908,31-Oct-21,1599.1
33909,1-Nov-21,1597.2
33910,2-Nov-21,1595.4
33911,3-Nov-21,1593.5
33912,4-Nov-21,1591.6
33913,5-Nov-21,1589.6
33914,6-Nov-21,1587.7
33915,7-Nov-21,1585.7
33916,8-Nov-21,1583.6
33917,9-Nov-21,1581.6
33918,10-Nov-21,1579.6
33919,11-Nov-21,1577.5
33920,12-Nov-21,1575.5
33921,13-Nov-21,1573.3
33922,14-Nov-21,1571.2
33923,15-Nov-21,1568.9
33924,16-Nov-21,1566.7
33925,17-Nov-21,1564.5
33926,18-Nov-21,1562.2
33927,19-Nov-21,1559.9
33928,20-Nov-21,1557.6
33929,21-Nov-21,1555.3
33930,22-Nov-21,1552.8
33931,23-Nov-21,1550.4
33932,24-Nov-21,1547.9
33933,25-Nov-21,1545.4
33934,26-Nov-21,1542.9
33935,27-Nov-21,1540.3
33936,28-Nov-21,1537.6
33937,29-Nov-21,1534.8
33938,30-Nov-21,1532
33939,1-Dec-21,1532
33940,2-Dec-21,1532
33941,3-Dec-21,1532
33942,4-Dec-21,1532
33943,5-Dec-21,1532
33944,6-Dec-21,1532
33945,7-Dec-21,1532
33946,8-Dec-21,1532
33947,9-Dec-21,1532
33948,10-Dec-21,1532
33949,11-Dec-21,1532
33950,12-Dec-21,1532
33951,13-Dec-21,1532
33952,14-Dec-21,1532
33953,15-Dec-21,1532
33954,16-Dec-21,1532
33955,17-Dec-21,1532
33956,18-Dec-21,1532
33957,19-Dec-21,1532
33958,20-Dec-21,1532
33959,21-Dec-21,1532
33960,22-Dec-21,1532
33961,23-Dec-21,1532
33962,24-Dec-21,1532
33963,25-Dec-21,1532
33964,26-Dec-21,1532
33965,27-Dec-21,1532
33966,28-Dec-21,1532
33967,29-Dec-21,1532
33968,30-Dec-21,1532
33969,31-Dec-21,1532
